xRV Of Event (Count Ind),count,mean,25%,50%,75%,min,max
-0.3802,423.0,0.2207742789598109,-6.972485000000001,1.06606,6.76646,-16.55962,17.94131
-0.375,1163.0,0.3593213757523646,-5.8493949999999995,0.84158,5.9852799999999995,-17.62954,18.52741
-0.12,426.0,1.3157800469483567,-6.358075,3.57644,7.602595,-17.10568,18.12107
-0.06,1863.0,0.1543089210950081,-6.292895,0.85634,6.0039,-18.19863,21.65261
-0.03,1591.0,0.9105295663104965,-4.93018,2.40555,6.268255,-17.94666,18.91655
0.055,3886.0,0.15847378795676792,-6.03502,0.46805,5.9938725,-18.28166,19.01698
0.39687,317.0,0.4261234069400629,-5.02386,0.69177,5.95,-17.16458,18.15576
0.418,45.0,0.2008942222222222,-7.19914,3.23914,6.17792,-12.8843,10.51847
0.5888,449.0,-0.798554832962138,-6.7089,-0.75248,4.64236,-16.19198,17.81418
0.6,51.0,-1.7620835294117647,-7.71374,-3.31689,3.4152,-16.4821,16.9895
0.891,103.0,-0.1622614563106796,-5.659095000000001,-0.30965,4.65034,-16.70025,17.08595
1.183,11.0,-1.6074263636363637,-4.73703,-2.33807,2.8637650000000003,-12.67772,4.91638
1.459,70.0,-0.9687888571428573,-5.791755,-0.33468499999999995,4.11712,-12.9517,10.28528
