model_name,feature_set,accuracy,log_loss,mean_abs_class_error,mean_abs_xrv_error,best_early_stopping_val_loss
Random Forest,Set A,0.49372384937238495,1.6738714249999107,1.2836820083682008,0.14482408786610879,
Random Forest,Set B,0.4845188284518828,1.7687833637828079,1.289958158995816,0.14439764435146443,
Random Forest,Set C,0.4903765690376569,1.7529312098936027,1.2836820083682008,0.14372626359832635,
Cat Boost,Set A,0.4928870292887029,1.495693452998479,1.2380753138075313,0.13897864853556488,
Cat Boost,Set B,0.49581589958158995,1.4960512129477614,1.2359832635983263,0.13887212133891214,
Cat Boost,Set C,0.49414225941422596,1.5011222557721238,1.2301255230125523,0.1381732092050209,
Xg Boost,Set A,0.49539748953974894,1.52460910994022,1.2468619246861925,0.1414406861924686,
Xg Boost,Set B,0.49832635983263596,1.5313261919163799,1.2384937238493723,0.139412179916318,
Xg Boost,Set C,0.49539748953974894,1.5303254084121816,1.2372384937238494,0.1389281338912134,
